"","health_board","LSOA_name","LSOA_code","patients","Locality","total_locality_pop","prop_of_locality","Code","items","cost","quantity","item","items_per_lsoa","cost_per_lsoa","quantity_per_lsoa"
"11","Betsi Cadwaladr University Health Board","Isle of Anglesey 008B","W01000011",1084,"Isle of Anglesey",70009,0.0154837235212616,"6B1",19745,436446.6975,45216,"inhalers",305.726120927309,6757.81999585768,700.112042737362
"12","Betsi Cadwaladr University Health Board","Isle of Anglesey 006B","W01000012",1824,"Isle of Anglesey",70009,0.0260537930837464,"6B1",19745,436446.6975,45216,"inhalers",514.432144438572,11371.0919487494,1178.04830807468
"13","Betsi Cadwaladr University Health Board","Isle of Anglesey 005B","W01000013",2121,"Isle of Anglesey",70009,0.0302961047865274,"6B1",19745,436446.6975,45216,"inhalers",598.196589009984,13222.6348811938,1369.86867402763
"14","Betsi Cadwaladr University Health Board","Isle of Anglesey 006C","W01000014",2449,"Isle of Anglesey",70009,0.0349812167007099,"6B1",19745,436446.6975,45216,"inhalers",690.704123755517,15267.4365035567,1581.7106943393
"15","Betsi Cadwaladr University Health Board","Isle of Anglesey 008C","W01000015",1657,"Isle of Anglesey",70009,0.0236683854932937,"6B1",19745,436446.6975,45216,"inhalers",467.332271565084,10329.988683705,1070.18971846477
"16","Betsi Cadwaladr University Health Board","Isle of Anglesey 003A","W01000016",1274,"Isle of Anglesey",70009,0.0181976603008185,"6B1",19745,436446.6975,45216,"inhalers",359.312802639661,7942.30874051908,822.825408161808
"17","Betsi Cadwaladr University Health Board","Isle of Anglesey 003B","W01000017",1682,"Isle of Anglesey",70009,0.0240254824379723,"6B1",19745,436446.6975,45216,"inhalers",474.383150737762,10485.8424658972,1086.33621391535
"18","Betsi Cadwaladr University Health Board","Isle of Anglesey 001C","W01000018",1200,"Isle of Anglesey",70009,0.01714065334457,"6B1",19745,436446.6975,45216,"inhalers",338.442200288534,7480.9815452299,775.031781628076
"19","Betsi Cadwaladr University Health Board","Isle of Anglesey 005C","W01000019",1274,"Isle of Anglesey",70009,0.0181976603008185,"6B1",19745,436446.6975,45216,"inhalers",359.312802639661,7942.30874051908,822.825408161808
"20","Betsi Cadwaladr University Health Board","Isle of Anglesey 002B","W01000020",0,"Isle of Anglesey",70009,0,"6B1",19745,436446.6975,45216,"inhalers",0,0,0
"21","Betsi Cadwaladr University Health Board","Isle of Anglesey 002C","W01000021",2342,"Isle of Anglesey",70009,0.0334528417774858,"6B1",19745,436446.6975,45216,"inhalers",660.526360896456,14600.3823157737,1512.6036938108
"22","Betsi Cadwaladr University Health Board","Isle of Anglesey 004A","W01000022",1617,"Isle of Anglesey",70009,0.0230970303818081,"6B1",19745,436446.6975,45216,"inhalers",456.0508648888,10080.6226321973,1044.35532574383
"23","Betsi Cadwaladr University Health Board","Isle of Anglesey 007D","W01000023",1548,"Isle of Anglesey",70009,0.0221114428144953,"6B1",19745,436446.6975,45216,"inhalers",436.590438372209,9650.46619334657,999.790998300219
"24","Betsi Cadwaladr University Health Board","Isle of Anglesey 007E","W01000024",979,"Isle of Anglesey",70009,0.0139839163536117,"6B1",19745,436446.6975,45216,"inhalers",276.112428402063,6103.23411065006,632.296761844906
"25","Betsi Cadwaladr University Health Board","Isle of Anglesey 009B","W01000025",2230,"Isle of Anglesey",70009,0.0318530474653259,"6B1",19745,436446.6975,45216,"inhalers",628.93842220286,13902.1573715522,1440.26739419218
"26","Betsi Cadwaladr University Health Board","Isle of Anglesey 005D","W01000026",1219,"Isle of Anglesey",70009,0.0174120470225257,"6B1",19745,436446.6975,45216,"inhalers",343.800868459769,7599.43041969604,787.303118170521
"27","Betsi Cadwaladr University Health Board","Isle of Anglesey 009C","W01000027",1846,"Isle of Anglesey",70009,0.0263680383950635,"6B1",19745,436446.6975,45216,"inhalers",520.636918110529,11508.2432770787,1192.25722407119
"28","Betsi Cadwaladr University Health Board","Isle of Anglesey 001D","W01000028",2045,"Isle of Anglesey",70009,0.0292105300747047,"6B1",19745,436446.6975,45216,"inhalers",576.761916325044,12748.8393833293,1320.78332785785
"29","Betsi Cadwaladr University Health Board","Isle of Anglesey 003C","W01000029",1665,"Isle of Anglesey",70009,0.0237826565155909,"6B1",19745,436446.6975,45216,"inhalers",469.588552900341,10379.8618940065,1075.35659700896
"30","Betsi Cadwaladr University Health Board","Isle of Anglesey 003D","W01000030",2465,"Isle of Anglesey",70009,0.0352097587453042,"6B1",19745,436446.6975,45216,"inhalers",695.216686426031,15367.1829241597,1592.04445142767
"31","Betsi Cadwaladr University Health Board","Isle of Anglesey 001E","W01000031",1651,"Isle of Anglesey",70009,0.0235826822265709,"6B1",19745,436446.6975,45216,"inhalers",465.640060563642,10292.5837759788,1066.31455955663
"32","Betsi Cadwaladr University Health Board","Isle of Anglesey 002D","W01000032",0,"Isle of Anglesey",70009,0,"6B1",19745,436446.6975,45216,"inhalers",0,0,0
"33","Betsi Cadwaladr University Health Board","Isle of Anglesey 003E","W01000033",1602,"Isle of Anglesey",70009,0.0228827722150009,"6B1",19745,436446.6975,45216,"inhalers",451.820337385193,9987.11036288192,1034.66742847348
"34","Betsi Cadwaladr University Health Board","Isle of Anglesey 004B","W01000034",1699,"Isle of Anglesey",70009,0.0242683083603537,"6B1",19745,436446.6975,45216,"inhalers",479.177748575183,10591.823037788,1097.31583082175
"35","Betsi Cadwaladr University Health Board","Isle of Anglesey 005E","W01000035",1874,"Isle of Anglesey",70009,0.0267679869731035,"6B1",19745,436446.6975,45216,"inhalers",528.533902783928,11682.799513134,1210.34129897585
"36","Betsi Cadwaladr University Health Board","Isle of Anglesey 003F","W01000036",1125,"Isle of Anglesey",70009,0.0160693625105344,"6B1",19745,436446.6975,45216,"inhalers",317.289562770501,7013.42019865303,726.592295276322
"37","Betsi Cadwaladr University Health Board","Isle of Anglesey 003G","W01000037",1154,"Isle of Anglesey",70009,0.0164835949663615,"6B1",19745,436446.6975,45216,"inhalers",325.468582610807,7194.21058599609,745.322229999
"38","Betsi Cadwaladr University Health Board","Isle of Anglesey 009D","W01000038",2240,"Isle of Anglesey",70009,0.0319958862431973,"6B1",19745,436446.6975,45216,"inhalers",631.758773871931,13964.4988844291,1446.72599237241
"39","Betsi Cadwaladr University Health Board","Isle of Anglesey 004C","W01000039",0,"Isle of Anglesey",70009,0,"6B1",19745,436446.6975,45216,"inhalers",0,0,0
"40","Betsi Cadwaladr University Health Board","Isle of Anglesey 004D","W01000040",1045,"Isle of Anglesey",70009,0.014926652287563,"6B1",19745,436446.6975,45216,"inhalers",294.726749417932,6514.6880956377,674.92350983445
"41","Betsi Cadwaladr University Health Board","Isle of Anglesey 006D","W01000041",1617,"Isle of Anglesey",70009,0.0230970303818081,"6B1",19745,436446.6975,45216,"inhalers",456.0508648888,10080.6226321973,1044.35532574383
"42","Betsi Cadwaladr University Health Board","Isle of Anglesey 008D","W01000042",2082,"Isle of Anglesey",70009,0.0297390335528289,"6B1",19745,436446.6975,45216,"inhalers",587.197217500607,12979.5029809739,1344.68014112471
"43","Betsi Cadwaladr University Health Board","Isle of Anglesey 004E","W01000043",0,"Isle of Anglesey",70009,0,"6B1",19745,436446.6975,45216,"inhalers",0,0,0
"44","Betsi Cadwaladr University Health Board","Isle of Anglesey 004F","W01000044",1052,"Isle of Anglesey",70009,0.015026639432073,"6B1",19745,436446.6975,45216,"inhalers",296.700995586282,6558.32715465155,679.444528560614
"45","Betsi Cadwaladr University Health Board","Gwynedd 011A","W01000047",1302,"Gwynedd",121340,0.0107301796604582,"6A2",35501,638726.2496,92577,"inhalers",380.932108125927,6853.64741205868,993.36784242624
"46","Betsi Cadwaladr University Health Board","Gwynedd 016A","W01000048",0,"Gwynedd",121340,0,"6A2",35501,638726.2496,92577,"inhalers",0,0,0
"47","Betsi Cadwaladr University Health Board","Gwynedd 016B","W01000049",0,"Gwynedd",121340,0,"6A2",35501,638726.2496,92577,"inhalers",0,0,0
"48","Betsi Cadwaladr University Health Board","Gwynedd 003A","W01000050",1573,"Gwynedd",121340,0.0129635734300313,"6A2",35501,638726.2496,92577,"inhalers",460.219820339542,8280.17463837811,1200.12873743201
"49","Betsi Cadwaladr University Health Board","Gwynedd 015A","W01000051",2064,"Gwynedd",121340,0.0170100543926158,"6A2",35501,638726.2496,92577,"inhalers",603.873940992253,10864.7682476875,1574.73980550519
"50","Betsi Cadwaladr University Health Board","Gwynedd 004A","W01000052",1154,"Gwynedd",121340,0.00951046645788693,"6A2",35501,638726.2496,92577,"inhalers",337.631069721444,6074.58457259271,880.450453271798
"51","Betsi Cadwaladr University Health Board","Gwynedd 004B","W01000053",1173,"Gwynedd",121340,0.00966705126091973,"6A2",35501,638726.2496,92577,"inhalers",343.189986813911,6174.59939657821,894.946604582166
"52","Betsi Cadwaladr University Health Board","Gwynedd 007A","W01000054",1096,"Gwynedd",121340,0.00903247074336575,"6A2",35501,638726.2496,92577,"inhalers",320.661743860227,5769.27616253173,836.199044008571
"53","Betsi Cadwaladr University Health Board","Gwynedd 009A","W01000056",1896,"Gwynedd",121340,0.0156255150815889,"6A2",35501,638726.2496,92577,"inhalers",554.721410911488,9980.42664613153,1446.56330970826
"54","Betsi Cadwaladr University Health Board","Gwynedd 016C","W01000057",1356,"Gwynedd",121340,0.0111752101532883,"6A2",35501,638726.2496,92577,"inhalers",396.731135651887,7137.90006970166,1034.56743036097
"55","Betsi Cadwaladr University Health Board","Gwynedd 006A","W01000059",2138,"Gwynedd",121340,0.0176199109939014,"6A2",35501,638726.2496,92577,"inhalers",625.524460194495,11254.2996674205,1631.19850008241
"56","Betsi Cadwaladr University Health Board","Gwynedd 015B","W01000060",1193,"Gwynedd",121340,0.00983187736937531,"6A2",35501,638726.2496,92577,"inhalers",349.041478490193,6279.87815866821,910.205711224658
"57","Betsi Cadwaladr University Health Board","Gwynedd 011B","W01000061",1763,"Gwynedd",121340,0.0145294214603593,"6A2",35501,638726.2496,92577,"inhalers",515.808991264216,9280.32287823306,1345.09025053568
"58","Betsi Cadwaladr University Health Board","Gwynedd 001A","W01000062",2528,"Gwynedd",121340,0.0208340201087852,"6A2",35501,638726.2496,92577,"inhalers",739.628547881985,13307.2355281754,1928.75107961101
"59","Betsi Cadwaladr University Health Board","Gwynedd 005A","W01000063",2015,"Gwynedd",121340,0.0166062304268996,"6A2",35501,638726.2496,92577,"inhalers",589.537786385363,10606.835280567,1537.35499423109
"60","Betsi Cadwaladr University Health Board","Gwynedd 002A","W01000064",2294,"Gwynedd",121340,0.018905554639855,"6A2",35501,638726.2496,92577,"inhalers",671.166095269491,12075.4740117224,1750.21953189385
"61","Betsi Cadwaladr University Health Board","Gwynedd 009B","W01000065",1091,"Gwynedd",121340,0.00899126421625185,"6A2",35501,638726.2496,92577,"inhalers",319.198870941157,5742.95647200923,832.384267347948
"62","Betsi Cadwaladr University Health Board","Gwynedd 010A","W01000066",1149,"Gwynedd",121340,0.00946925993077303,"6A2",35501,638726.2496,92577,"inhalers",336.168196802373,6048.26488207022,876.635676611175
"63","Betsi Cadwaladr University Health Board","Gwynedd 016D","W01000067",1241,"Gwynedd",121340,0.0102274600296687,"6A2",35501,638726.2496,92577,"inhalers",363.085058513268,6532.54718768419,946.827567166639
"64","Betsi Cadwaladr University Health Board","Gwynedd 016E","W01000068",1446,"Gwynedd",121340,0.0119169276413384,"6A2",35501,638726.2496,92577,"inhalers",423.062848195154,7611.65449910664,1103.23341025218
"65","Betsi Cadwaladr University Health Board","Gwynedd 013A","W01000069",0,"Gwynedd",121340,0,"6A2",35501,638726.2496,92577,"inhalers",0,0,0
"66","Betsi Cadwaladr University Health Board","Gwynedd 012A","W01000070",1327,"Gwynedd",121340,0.0109362122960277,"6A2",35501,638726.2496,92577,"inhalers",388.246472721279,6985.24586467117,1012.44172572936
"67","Betsi Cadwaladr University Health Board","Gwynedd 003B","W01000071",2248,"Gwynedd",121340,0.0185264545904071,"6A2",35501,638726.2496,92577,"inhalers",657.707664414043,11833.3328589154,1715.12358661612
"68","Betsi Cadwaladr University Health Board","Gwynedd 002B","W01000072",1667,"Gwynedd",121340,0.0137382561397725,"6A2",35501,638726.2496,92577,"inhalers",487.721831218065,8774.98482020109,1271.84653865172
"69","Betsi Cadwaladr University Health Board","Gwynedd 008A","W01000073",1755,"Gwynedd",121340,0.0144634910169771,"6A2",35501,638726.2496,92577,"inhalers",513.468394593704,9238.21137339707,1338.98660787869
"70","Betsi Cadwaladr University Health Board","Gwynedd 013B","W01000074",1858,"Gwynedd",121340,0.0153123454755233,"6A2",35501,638726.2496,92577,"inhalers",543.603576726553,9780.39699816054,1417.57100708752
"71","Betsi Cadwaladr University Health Board","Gwynedd 002C","W01000075",1462,"Gwynedd",121340,0.0120487885281029,"6A2",35501,638726.2496,92577,"inhalers",427.744041536179,7695.87750877864,1115.44069556618
"72","Betsi Cadwaladr University Health Board","Gwynedd 001B","W01000076",1267,"Gwynedd",121340,0.010441733970661,"6A2",35501,638726.2496,92577,"inhalers",370.691997692434,6669.40957840119,966.664405801879
"73","Betsi Cadwaladr University Health Board","Gwynedd 001C","W01000077",1366,"Gwynedd",121340,0.0112576232075161,"6A2",35501,638726.2496,92577,"inhalers",399.656881490028,7190.53945074666,1042.19698368222
"74","Betsi Cadwaladr University Health Board","Gwynedd 011C","W01000078",1613,"Gwynedd",121340,0.0132932256469425,"6A2",35501,638726.2496,92577,"inhalers",471.922803692105,8490.7321625581,1230.64695071699
"75","Betsi Cadwaladr University Health Board","Gwynedd 013C","W01000079",0,"Gwynedd",121340,0,"6A2",35501,638726.2496,92577,"inhalers",0,0,0
"76","Betsi Cadwaladr University Health Board","Gwynedd 014C","W01000080",1357,"Gwynedd",121340,0.0111834514587111,"6A2",35501,638726.2496,92577,"inhalers",397.023710235701,7143.16400780616,1035.33038569309
"77","Betsi Cadwaladr University Health Board","Gwynedd 005B","W01000081",2082,"Gwynedd",121340,0.0171583978902258,"6A2",35501,638726.2496,92577,"inhalers",609.140283500907,10959.5191335685,1588.47300148343
"78","Betsi Cadwaladr University Health Board","Gwynedd 015C","W01000082",1161,"Gwynedd",121340,0.00956815559584638,"6A2",35501,638726.2496,92577,"inhalers",339.679091808142,6111.43213932421,885.791140596671
"79","Betsi Cadwaladr University Health Board","Gwynedd 015D","W01000083",1311,"Gwynedd",121340,0.0108043514092632,"6A2",35501,638726.2496,92577,"inhalers",383.565279380254,6901.02285499918,1000.23444041536
"80","Betsi Cadwaladr University Health Board","Gwynedd 014D","W01000084",981,"Gwynedd",121340,0.00808472061974617,"6A2",35501,638726.2496,92577,"inhalers",287.015666721609,5163.92328051426,748.459180814241
"81","Betsi Cadwaladr University Health Board","Gwynedd 017C","W01000085",1973,"Gwynedd",121340,0.0162600955991429,"6A2",35501,638726.2496,92577,"inhalers",577.249653865172,10385.749880178,1505.31087028185
"82","Betsi Cadwaladr University Health Board","Gwynedd 008B","W01000086",2241,"Gwynedd",121340,0.0184687654524477,"6A2",35501,638726.2496,92577,"inhalers",655.659642327345,11796.4852921839,1709.78289929125
"83","Betsi Cadwaladr University Health Board","Gwynedd 004C","W01000087",1941,"Gwynedd",121340,0.015996373825614,"6A2",35501,638726.2496,92577,"inhalers",567.887267183122,10217.303860834,1480.89629965387
"84","Betsi Cadwaladr University Health Board","Gwynedd 007B","W01000088",2171,"Gwynedd",121340,0.0178918740728531,"6A2",35501,638726.2496,92577,"inhalers",635.179421460359,11428.009624869,1656.37602604252
"85","Betsi Cadwaladr University Health Board","Gwynedd 011D","W01000089",2077,"Gwynedd",121340,0.0171171913631119,"6A2",35501,638726.2496,92577,"inhalers",607.677410581836,10933.199443046,1584.65822482281
"86","Betsi Cadwaladr University Health Board","Gwynedd 002D","W01000090",1448,"Gwynedd",121340,0.0119334102521839,"6A2",35501,638726.2496,92577,"inhalers",423.647997362782,7622.18237531564,1104.75932091643
"87","Betsi Cadwaladr University Health Board","Gwynedd 001D","W01000091",1199,"Gwynedd",121340,0.00988132520191198,"6A2",35501,638726.2496,92577,"inhalers",350.796925993077,6311.4617872952,914.783443217406
"88","Betsi Cadwaladr University Health Board","Gwynedd 001E","W01000092",3086,"Gwynedd",121340,0.0254326685346959,"6A2",35501,638726.2496,92577,"inhalers",902.885165650239,16244.5129904862,2354.48015493654
"89","Betsi Cadwaladr University Health Board","Gwynedd 006B","W01000093",2163,"Gwynedd",121340,0.0178259436294709,"6A2",35501,638726.2496,92577,"inhalers",632.838824789847,11385.898120033,1650.27238338553
"90","Betsi Cadwaladr University Health Board","Gwynedd 012B","W01000094",1237,"Gwynedd",121340,0.0101944948079776,"6A2",35501,638726.2496,92577,"inhalers",361.914760178012,6511.49143526619,943.775745838141
"91","Betsi Cadwaladr University Health Board","Gwynedd 012C","W01000095",1304,"Gwynedd",121340,0.0107466622713038,"6A2",35501,638726.2496,92577,"inhalers",381.517257293555,6864.17528826768,994.89375309049
"92","Betsi Cadwaladr University Health Board","Gwynedd 003C","W01000096",1304,"Gwynedd",121340,0.0107466622713038,"6A2",35501,638726.2496,92577,"inhalers",381.517257293555,6864.17528826768,994.89375309049
"93","Betsi Cadwaladr University Health Board","Gwynedd 003D","W01000097",1269,"Gwynedd",121340,0.0104582165815065,"6A2",35501,638726.2496,92577,"inhalers",371.277146860063,6679.93745461019,968.190316466128
"94","Betsi Cadwaladr University Health Board","Gwynedd 006C","W01000098",2802,"Gwynedd",121340,0.0230921377946267,"6A2",35501,638726.2496,92577,"inhalers",819.793983847041,14749.5545688083,2137.80084061315
"95","Betsi Cadwaladr University Health Board","Gwynedd 005C","W01000099",1737,"Gwynedd",121340,0.0143151475193671,"6A2",35501,638726.2496,92577,"inhalers",508.20205208505,9143.46048751607,1325.25341190044
"96","Betsi Cadwaladr University Health Board","Gwynedd 010B","W01000100",1045,"Gwynedd",121340,0.00861216416680402,"6A2",35501,638726.2496,92577,"inhalers",305.74044008571,5500.81531920224,797.288322070216
"97","Betsi Cadwaladr University Health Board","Gwynedd 013D","W01000101",1430,"Gwynedd",121340,0.0117850667545739,"6A2",35501,638726.2496,92577,"inhalers",418.381654854129,7527.43148943465,1091.02612493819
"98","Betsi Cadwaladr University Health Board","Gwynedd 002E","W01000102",1931,"Gwynedd",121340,0.0159139607713862,"6A2",35501,638726.2496,92577,"inhalers",564.961521344981,10164.664479789,1473.26674633262
"99","Betsi Cadwaladr University Health Board","Gwynedd 005D","W01000103",1332,"Gwynedd",121340,0.0109774188231416,"6A2",35501,638726.2496,92577,"inhalers",389.709345640349,7011.56555519367,1016.25650238998
"100","Betsi Cadwaladr University Health Board","Gwynedd 008C","W01000104",1851,"Gwynedd",121340,0.0152546563375639,"6A2",35501,638726.2496,92577,"inhalers",541.555554639855,9743.54943142904,1412.23031976265
"101","Betsi Cadwaladr University Health Board","Gwynedd 010C","W01000105",1769,"Gwynedd",121340,0.014578869292896,"6A2",35501,638726.2496,92577,"inhalers",517.564438767101,9311.90650686006,1349.66798252843
"102","Betsi Cadwaladr University Health Board","Gwynedd 010D","W01000106",1587,"Gwynedd",121340,0.0130789517059502,"6A2",35501,638726.2496,92577,"inhalers",464.315864512939,8353.86977184111,1210.81011208175
"103","Betsi Cadwaladr University Health Board","Gwynedd 010E","W01000107",1137,"Gwynedd",121340,0.00937036426569969,"6A2",35501,638726.2496,92577,"inhalers",332.657301796605,5985.09762481622,867.48021262568
"104","Betsi Cadwaladr University Health Board","Gwynedd 012D","W01000108",2248,"Gwynedd",121340,0.0185264545904071,"6A2",35501,638726.2496,92577,"inhalers",657.707664414043,11833.3328589154,1715.12358661612
"105","Betsi Cadwaladr University Health Board","Gwynedd 012E","W01000109",1912,"Gwynedd",121340,0.0157573759683534,"6A2",35501,638726.2496,92577,"inhalers",559.402604252514,10064.6496558035,1458.77059502225
"106","Betsi Cadwaladr University Health Board","Gwynedd 006D","W01000110",1635,"Gwynedd",121340,0.0134745343662436,"6A2",35501,638726.2496,92577,"inhalers",478.359444536015,8606.5388008571,1247.43196802373
"107","Betsi Cadwaladr University Health Board","Gwynedd 007C","W01000111",1557,"Gwynedd",121340,0.0128317125432669,"6A2",35501,638726.2496,92577,"inhalers",455.538626998517,8195.95162870611,1187.92145211802
"108","Betsi Cadwaladr University Health Board","Gwynedd 008D","W01000112",1836,"Gwynedd",121340,0.0151310367562222,"6A2",35501,638726.2496,92577,"inhalers",537.166935882644,9664.59035986155,1400.78598978078
"109","Betsi Cadwaladr University Health Board","Gwynedd 009C","W01000113",1832,"Gwynedd",121340,0.0150980715345311,"6A2",35501,638726.2496,92577,"inhalers",535.996637547388,9643.53460744355,1397.73416845228
"110","Betsi Cadwaladr University Health Board","Gwynedd 009D","W01000114",1408,"Gwynedd",121340,0.0116037580352728,"6A2",35501,638726.2496,92577,"inhalers",411.945014010219,7411.62485113565,1074.24110763145
"111","Betsi Cadwaladr University Health Board","Gwynedd 003E","W01000115",2249,"Gwynedd",121340,0.0185346958958299,"6A2",35501,638726.2496,92577,"inhalers",658.000238997857,11838.5967970199,1715.88654194824
"112","Betsi Cadwaladr University Health Board","Gwynedd 017D","W01000116",1713,"Gwynedd",121340,0.0141173561892204,"6A2",35501,638726.2496,92577,"inhalers",501.180262073512,9017.12597300808,1306.94248392945
"113","Betsi Cadwaladr University Health Board","Gwynedd 017E","W01000117",1497,"Gwynedd",121340,0.0123372342179001,"6A2",35501,638726.2496,92577,"inhalers",437.984151969672,7880.11534243613,1142.14413219054
"114","Betsi Cadwaladr University Health Board","Gwynedd 007D","W01000118",1738,"Gwynedd",121340,0.0143233888247898,"6A2",35501,638726.2496,92577,"inhalers",508.494626668864,9148.72442562057,1326.01636723257
"115","Betsi Cadwaladr University Health Board","Gwynedd 004D","W01000119",2349,"Gwynedd",121340,0.0193588264381078,"6A2",35501,638726.2496,92577,"inhalers",687.257697379265,12364.9906074699,1792.18207516071
"116","Betsi Cadwaladr University Health Board","Conwy 015A","W01000121",1134,"Conwy",118723,0.00955164542674966,"6A7",44608,953820.2059,123630,"inhalers",426.079799196449,9110.55240762615,1180.86992410906
"117","Betsi Cadwaladr University Health Board","Conwy 014A","W01000122",2109,"Conwy",118723,0.0177640389814947,"6A7",44608,953820.2059,123630,"inhalers",792.418250886517,16943.6993189449,2196.16813928219
"118","Betsi Cadwaladr University Health Board","Conwy 013A","W01000123",1789,"Conwy",118723,0.0150686893019887,"6A7",44608,953820.2059,123630,"inhalers",672.18409238311,14372.820332666,1862.94205840486
"119","Betsi Cadwaladr University Health Board","Conwy 012A","W01000124",1871,"Conwy",118723,0.0157593726573621,"6A7",44608,953820.2059,123630,"inhalers",702.994095499608,15031.6080728999,1948.33124162968
"120","Betsi Cadwaladr University Health Board","Conwy 013B","W01000125",1600,"Conwy",118723,0.0134767483975304,"6A7",44608,953820.2059,123630,"inhalers",601.170792517035,12854.3949313949,1666.13040438668
"121","Betsi Cadwaladr University Health Board","Conwy 009A","W01000126",1668,"Conwy",118723,0.0140495102044254,"6A7",44608,953820.2059,123630,"inhalers",626.720551199009,13400.7067159792,1736.94094657312
"122","Betsi Cadwaladr University Health Board","Conwy 009B","W01000127",1488,"Conwy",118723,0.0125333760097033,"6A7",44608,953820.2059,123630,"inhalers",559.088837040843,11954.5872861973,1549.50127607961
"123","Betsi Cadwaladr University Health Board","Conwy 009C","W01000128",1522,"Conwy",118723,0.0128197569131508,"6A7",44608,953820.2059,123630,"inhalers",571.86371638183,12227.7431784894,1584.90654717283
"124","Betsi Cadwaladr University Health Board","Conwy 012B","W01000129",1183,"Conwy",118723,0.00996437084642403,"6A7",44608,953820.2059,123630,"inhalers",444.490654717283,9504.21825240012,1231.8951677434
"125","Betsi Cadwaladr University Health Board","Conwy 012C","W01000130",1325,"Conwy",118723,0.0111604322667049,"6A7",44608,953820.2059,123630,"inhalers",497.84456255317,10645.0458025614,1379.76424113272
"126","Betsi Cadwaladr University Health Board","Conwy 012D","W01000131",1782,"Conwy",118723,0.0150097285277495,"6A7",44608,953820.2059,123630,"inhalers",669.553970165848,14316.5823548411,1855.65273788567
"127","Betsi Cadwaladr University Health Board","Conwy 001A","W01000132",1608,"Conwy",118723,0.013544132139518,"6A7",44608,953820.2059,123630,"inhalers",604.176646479621,12918.6669060519,1674.46105640862
"128","Betsi Cadwaladr University Health Board","Conwy 002A","W01000133",1825,"Conwy",118723,0.0153719161409331,"6A7",44608,953820.2059,123630,"inhalers",685.710435214744,14662.0442186223,1900.42999250356
"129","Betsi Cadwaladr University Health Board","Conwy 015B","W01000134",2072,"Conwy",118723,0.0174523891748018,"6A7",44608,953820.2059,123630,"inhalers",778.516176309561,16646.4414361564,2157.63887368075
"130","Betsi Cadwaladr University Health Board","Conwy 006A","W01000135",2040,"Conwy",118723,0.0171828542068512,"6A7",44608,953820.2059,123630,"inhalers",766.49276045922,16389.3535375285,2124.31626559302
"131","Betsi Cadwaladr University Health Board","Conwy 006B","W01000136",1762,"Conwy",118723,0.0148412691727803,"6A7",44608,953820.2059,123630,"inhalers",662.039335259385,14155.9024181987,1834.82610783083
"132","Betsi Cadwaladr University Health Board","Conwy 015C","W01000137",1510,"Conwy",118723,0.0127186813001693,"6A7",44608,953820.2059,123630,"inhalers",567.354935437952,12131.335216504,1572.41056913993
"133","Betsi Cadwaladr University Health Board","Conwy 008A","W01000138",2145,"Conwy",118723,0.0180672658204392,"6A7",44608,953820.2059,123630,"inhalers",805.944593718151,17232.9232049013,2233.6560733809
"134","Betsi Cadwaladr University Health Board","Conwy 007A","W01000139",1593,"Conwy",118723,0.0134177876232912,"6A7",44608,953820.2059,123630,"inhalers",598.540670299773,12798.1569535701,1658.84108386749
